Order ID,Product ID,Customer ID,TerritoryID,Sales,Quantity,Discount,Profit,Status,Order Date,Ship Date,Returned
CA-2016-162775,OFF-EN-10001532,CS-12250,6,50.94,3,0,25.47,In process,13-01-16,15-01-16,no
CA-2016-162775,TEC-AC-10003174,CS-12250,6,646.74,6,0,258.7,In process,13-01-16,15-01-16,no
CA-2016-162775,OFF-BI-10004187,CS-12250,6,5.64,3,0,2.71,In process,13-01-16,15-01-16,no
CA-2016-162775,OFF-ST-10000025,CS-12250,6,572.58,6,0,34.35,In process,13-01-16,15-01-16,no
CA-2019-114412,OFF-PA-10002365,AA-10480,6,15.55,3,0.2,5.44,Shipped,15-04-19,20-04-19,no
CA-2018-161389,OFF-BI-10003656,IM-15070,6,407.98,3,0.2,132.59,Shipped,05-12-18,10-12-18,no
CA-2016-143336,OFF-AR-10003056,ZD-21925,6,8.56,2,0,2.48,Backordered,27-08-16,01-09-16,yes
CA-2016-143336,TEC-PH-10001949,ZD-21925,6,213.48,3,0.2,16.01,Backordered,27-08-16,01-09-16,yes
CA-2016-143336,OFF-BI-10002215,ZD-21925,6,22.72,4,0.2,7.38,Backordered,27-08-16,01-09-16,yes
CA-2016-109232,FUR-CH-10000422,ND-18370,6,545.94,6,0,87.35,Cancelled,13-01-16,16-01-16,no
US-2017-118983,OFF-AP-10002311,HP-14815,6,68.81,5,0.8,-123.86,Shipped,22-11-17,26-11-17,no
US-2017-118983,OFF-BI-10000756,HP-14815,6,2.54,3,0.8,-3.82,Backordered,22-11-17,26-11-17,no
CA-2016-103366,TEC-AC-10003628,EH-13990,6,149.95,5,0,65.98,Approved,15-01-16,17-01-16,no
CA-2016-105893,OFF-ST-10004186,PK-19075,6,665.88,6,0,13.32,Backordered,11-11-16,18-11-16,no
CA-2016-115791,FUR-FU-10001095,DL-13315,6,127.1,6,0.2,28.6,Shipped,16-01-16,18-01-16,no
CA-2016-115791,TEC-PH-10004614,DL-13315,6,124.2,3,0.4,-31.05,Shipped,16-01-16,18-01-16,no
CA-2016-115791,OFF-BI-10001575,DL-13315,6,18.59,2,0.7,-13.63,Shipped,16-01-16,18-01-16,no
CA-2016-115791,OFF-LA-10001074,DL-13315,6,30.07,3,0.2,10.15,Shipped,16-01-16,18-01-16,no
CA-2016-167164,OFF-ST-10000107,AG-10270,6,55.5,2,0,9.99,Backordered,13-05-16,15-05-16,no
CA-2018-137330,OFF-AR-10000246,KB-16585,6,19.46,7,0,5.06,Backordered,09-12-18,13-12-18,no
CA-2018-137330,OFF-AP-10001492,KB-16585,6,60.34,7,0,15.69,Backordered,09-12-18,13-12-18,no
US-2016-147627,TEC-PH-10001061,HL-15040,6,699.93,7,0,181.98,Approved,20-01-16,26-01-16,no
US-2016-147627,OFF-AR-10002375,HL-15040,6,22.96,7,0,6.66,Approved,20-01-16,26-01-16,no
US-2016-147627,FUR-FU-10003194,HL-15040,6,38.6,4,0,11.58,Approved,20-01-16,26-01-16,no
US-2016-147627,OFF-AR-10003811,HL-15040,6,6.63,3,0,1.79,Approved,20-01-16,26-01-16,no
US-2016-147627,OFF-EN-10001539,HL-15040,6,23.34,3,0,10.97,Approved,20-01-16,26-01-16,no
US-2016-147627,FUR-CH-10002331,HL-15040,6,1067.94,3,0,224.27,Approved,20-01-16,26-01-16,no
US-2019-156909,FUR-CH-10002774,SF-20065,6,71.37,2,0.3,-1.02,Backordered,16-07-19,18-07-19,no
CA-2017-106320,FUR-TA-10000577,EB-13870,6,1044.63,3,0,240.26,Backordered,25-09-17,30-09-17,no
CA-2018-121755,OFF-BI-10001634,EH-13945,6,11.65,2,0.2,4.22,Backordered,16-01-18,20-01-18,no
CA-2018-121755,TEC-AC-10003027,EH-13945,6,90.57,3,0,11.77,Backordered,16-01-18,20-01-18,no
US-2016-155502,FUR-FU-10004587,SD-20485,1,62.82,3,0,30.78,Approved,26-01-16,31-01-16,no
US-2016-155502,OFF-ST-10004337,SD-20485,1,489.92,8,0,0,Approved,26-01-16,31-01-16,no
US-2016-155502,OFF-PA-10003072,SD-20485,1,19.44,3,0,9.33,Approved,26-01-16,31-01-16,no
US-2016-155502,OFF-PA-10000380,SD-20485,1,16.68,2,0,8.34,Approved,26-01-16,31-01-16,no
US-2016-155502,TEC-PH-10004833,SD-20485,1,155.35,13,0,0,Approved,26-01-16,31-01-16,no
US-2016-155502,FUR-FU-10001847,SD-20485,1,12.42,3,0,4.47,Approved,26-01-16,31-01-16,no
US-2016-155502,TEC-PH-10002103,SD-20485,1,187.98,2,0,52.63,Approved,26-01-16,31-01-16,no
US-2017-150630,FUR-BO-10004834,TB-21520,6,3083.43,7,0.5,-1665.05,Backordered,17-09-17,21-09-17,no
US-2017-150630,OFF-BI-10000474,TB-21520,6,9.62,2,0.7,-7.05,Backordered,17-09-17,21-09-17,no
US-2017-150630,FUR-FU-10004848,TB-21520,6,124.2,3,0.2,15.52,Backordered,17-09-17,21-09-17,no
US-2017-150630,OFF-EN-10001509,TB-21520,6,3.26,2,0.2,1.1,Backordered,17-09-17,21-09-17,no
US-2017-150630,OFF-AR-10004042,TB-21520,6,86.3,6,0.2,9.71,Backordered,17-09-17,21-09-17,no
US-2017-150630,OFF-BI-10001525,TB-21520,6,6.86,6,0.7,-5.72,Backordered,17-09-17,21-09-17,no
US-2017-150630,OFF-AR-10001683,TB-21520,6,15.76,2,0.2,3.55,Backordered,17-09-17,21-09-17,no
US-2016-117163,OFF-ST-10003692,EJ-13720,6,57.23,1,0,14.31,Shipped,27-01-16,02-02-16,no
US-2016-117163,FUR-TA-10003469,EJ-13720,6,333,3,0.2,-16.65,Shipped,27-01-16,02-02-16,no
US-2016-117163,OFF-AR-10003179,EJ-13720,6,36.44,4,0,12.03,Shipped,27-01-16,02-02-16,no
CA-2016-100328,OFF-BI-10000343,JC-15340,1,3.93,1,0.2,1.33,Rejected,28-01-16,03-02-16,no
CA-2016-115161,FUR-BO-10003966,LC-17050,7,290.67,2,0.15,3.42,Backordered,31-01-16,02-02-16,no
CA-2016-140795,TEC-AC-10001432,BD-11500,6,468.9,6,0,206.32,Shipped,01-02-16,03-02-16,no
CA-2019-107727,OFF-PA-10000249,MA-17560,6,29.47,3,0.2,9.95,Backordered,19-10-19,23-10-19,no
CA-2016-139857,OFF-FA-10001843,CD-12790,6,12.35,5,0,5.8,In process,02-02-16,06-02-16,no
CA-2018-117590,TEC-PH-10004977,GH-14485,6,1097.54,7,0.2,123.47,Backordered,08-12-18,10-12-18,no
CA-2018-117590,FUR-FU-10003664,GH-14485,6,190.92,5,0.6,-147.96,Backordered,08-12-18,10-12-18,no
CA-2016-111059,OFF-BI-10004593,TB-21400,1,83.84,2,0.2,27.25,In process,03-02-16,06-02-16,no
CA-2016-111059,OFF-BI-10002827,TB-21400,1,13.27,3,0.2,4.31,In process,03-02-16,06-02-16,no
CA-2016-107181,OFF-BI-10004230,DB-13270,6,82.9,3,0.2,29.01,Approved,04-02-16,08-02-16,no
CA-2016-107181,OFF-PA-10000350,DB-13270,6,34.24,4,0,16.09,Approved,04-02-16,08-02-16,no
CA-2017-117415,OFF-EN-10002986,SN-20710,1,113.33,9,0.2,35.42,Shipped,27-12-17,31-12-17,no
CA-2017-117415,FUR-BO-10002545,SN-20710,1,532.4,3,0.32,-46.98,Shipped,27-12-17,31-12-17,no
CA-2017-117415,FUR-CH-10004218,SN-20710,1,212.06,3,0.3,-15.15,Shipped,27-12-17,31-12-17,no
CA-2017-117415,TEC-PH-10000486,SN-20710,1,371.17,4,0.2,41.76,Shipped,27-12-17,31-12-17,no
CA-2016-131905,OFF-LA-10002787,ND-18460,7,15,4,0,7.2,Approved,06-02-16,09-02-16,no
CA-2016-131905,TEC-PH-10003645,ND-18460,7,161.61,1,0,42.02,Approved,06-02-16,09-02-16,no
CA-2016-131905,TEC-PH-10001615,ND-18460,7,144.95,5,0,42.04,Approved,06-02-16,09-02-16,no
CA-2019-120999,TEC-PH-10004093,LC-16930,1,147.17,4,0.2,16.56,Shipped,10-09-19,15-09-19,no
CA-2016-107755,TEC-AC-10000710,CK-12760,6,115.36,7,0,49.6,Approved,07-02-16,12-02-16,no
CA-2018-101343,OFF-ST-10003479,RA-19885,1,77.88,2,0,3.89,Shipped,17-07-18,22-07-18,no
CA-2019-139619,OFF-ST-10003282,ES-14080,1,95.62,2,0.2,9.56,Shipped,19-09-19,23-09-19,no
CA-2018-118255,TEC-AC-10000171,ON-18715,1,45.98,2,0,19.77,Shipped,11-03-18,13-03-18,no
CA-2018-118255,OFF-BI-10003291,ON-18715,1,17.46,2,0,8.21,Shipped,11-03-18,13-03-18,no
US-2016-110674,FUR-CH-10000225,SC-20095,6,129.57,2,0.2,-24.29,Cancelled,12-02-16,18-02-16,no
CA-2016-146703,OFF-ST-10001713,PO-18865,1,211.96,4,0,8.48,Shipped,20-10-16,25-10-16,no
CA-2018-169194,TEC-AC-10002167,LH-16900,6,45,3,0,4.95,Approved,20-06-18,25-06-18,no
CA-2018-169194,TEC-PH-10003988,LH-16900,6,21.8,2,0,6.1,Approved,20-06-18,25-06-18,no
CA-2017-115742,OFF-BI-10004410,DP-13000,6,38.22,6,0,17.96,Approved,18-04-17,22-04-17,no
CA-2017-115742,OFF-LA-10002762,DP-13000,6,75.18,6,0,35.33,Approved,18-04-17,22-04-17,no
CA-2017-115742,FUR-FU-10001706,DP-13000,6,6.16,2,0,2.96,Approved,18-04-17,22-04-17,no
CA-2017-115742,FUR-CH-10003061,DP-13000,6,89.99,1,0,17.1,Approved,18-04-17,22-04-17,no
CA-2016-122567,OFF-BI-10002012,MN-17935,6,1.08,3,0.8,-1.73,In process,16-02-16,21-02-16,no
CA-2016-122567,OFF-AP-10001303,MN-17935,6,7.96,2,0.8,-13.93,In process,16-02-16,21-02-16,no
CA-2018-109806,OFF-AR-10004930,JS-15685,6,20.1,3,0,6.63,Backordered,17-09-18,22-09-18,yes
CA-2018-109806,TEC-PH-10004093,JS-15685,6,73.58,2,0.2,8.28,Backordered,17-09-18,22-09-18,yes
CA-2018-109806,OFF-PA-10000304,JS-15685,6,6.48,1,0,3.11,In process,17-09-18,22-09-18,yes
CA-2018-105816,OFF-FA-10000304,JM-15265,6,15.26,7,0,6.26,Approved,11-12-18,17-12-18,no
CA-2018-105816,TEC-PH-10002447,JM-15265,6,1029.95,5,0,298.69,Approved,11-12-18,17-12-18,no
CA-2018-111682,OFF-ST-10000604,TB-21055,6,208.56,6,0,52.14,Approved,17-06-18,18-06-18,yes
CA-2018-111682,OFF-PA-10001569,TB-21055,6,32.4,5,0,15.55,Approved,17-06-18,18-06-18,yes
CA-2018-111682,FUR-CH-10003968,TB-21055,6,319.41,5,0.1,7.1,Approved,17-06-18,18-06-18,yes
CA-2018-111682,OFF-PA-10000587,TB-21055,6,14.56,2,0,6.99,Approved,17-06-18,18-06-18,yes
CA-2018-111682,TEC-AC-10002167,TB-21055,6,30,2,0,3.3,Approved,17-06-18,18-06-18,yes
CA-2018-111682,OFF-BI-10001460,TB-21055,6,48.48,4,0.2,16.36,Approved,17-06-18,18-06-18,yes
CA-2018-111682,OFF-AR-10001868,TB-21055,6,1.68,1,0,0.84,Approved,17-06-18,18-06-18,yes
CA-2016-109491,TEC-AC-10001284,LC-16930,1,62.31,3,0,22.43,Cancelled,20-02-16,26-02-16,no
CA-2016-109491,FUR-FU-10000221,LC-16930,1,20.32,4,0,6.91,Cancelled,20-02-16,26-02-16,no
CA-2016-165540,OFF-BI-10004094,TM-21010,10,8.85,5,0.8,-13.72,Approved,21-02-16,25-02-16,no
CA-2017-135545,TEC-AC-10004633,KM-16720,6,13.98,2,0,6.15,Approved,24-11-17,30-11-17,no
CA-2017-135545,OFF-BI-10001078,KM-16720,6,25.82,6,0.2,9.36,Approved,24-11-17,30-11-17,no
CA-2017-135545,OFF-PA-10003892,KM-16720,6,146.73,3,0,68.96,Approved,24-11-17,30-11-17,no
CA-2017-135545,FUR-FU-10000397,KM-16720,6,79.76,4,0,22.33,Approved,24-11-17,30-11-17,no
CA-2016-104269,FUR-CH-10004063,DB-13060,6,457.57,2,0.2,51.48,Approved,01-03-16,06-03-16,no
US-2017-164175,FUR-CH-10001146,PS-18970,6,213.12,5,0.3,-15.22,Approved,30-04-17,05-05-17,no
CA-2016-106376,OFF-AR-10002671,BS-11590,6,1113.02,8,0.2,111.3,Approved,05-12-16,10-12-16,no
CA-2016-106376,TEC-PH-10002726,BS-11590,6,167.97,4,0.2,62.99,Approved,05-12-16,10-12-16,no
CA-2016-155852,OFF-AR-10003560,AJ-10945,6,19.46,4,0.2,3.4,In process,03-03-16,07-03-16,no
CA-2016-127964,TEC-PH-10004700,AP-10720,6,9.99,1,0,4.6,Approved,03-03-16,08-03-16,no
CA-2016-127964,OFF-BI-10004593,AP-10720,6,125.76,3,0.2,40.87,Approved,03-03-16,08-03-16,no
CA-2016-127964,OFF-BI-10003429,AP-10720,6,25.32,5,0.2,9.18,Approved,03-03-16,08-03-16,no
CA-2018-119823,OFF-PA-10000482,KD-16270,6,75.88,2,0,35.66,Approved,04-06-18,06-06-18,no
CA-2018-106075,OFF-BI-10004654,HM-14980,6,4.62,1,0.2,1.73,Approved,18-09-18,23-09-18,no
CA-2019-114440,OFF-PA-10004675,TB-21520,6,19.05,3,0,8.76,Approved,14-09-19,17-09-19,no
US-2017-134026,FUR-CH-10000513,JE-15745,6,831.94,8,0.2,-114.39,Approved,26-04-17,02-05-17,no
US-2017-134026,FUR-FU-10003708,JE-15745,6,97.04,2,0.2,1.21,Approved,26-04-17,02-05-17,no
US-2017-134026,OFF-ST-10004123,JE-15745,6,72.78,1,0.2,-18.2,Approved,26-04-17,02-05-17,no
CA-2016-116239,OFF-ST-10001370,CL-12565,6,354.9,5,0,17.74,Approved,04-03-16,04-03-16,no
CA-2016-117016,OFF-AR-10001374,SC-20095,6,15.55,3,0.2,2.33,In process,04-03-16,09-03-16,no
US-2019-118038,OFF-BI-10004182,KB-16600,6,1.25,3,0.8,-1.93,Approved,09-12-19,11-12-19,no
US-2019-118038,FUR-FU-10000260,KB-16600,6,9.71,3,0.6,-5.82,In process,09-12-19,11-12-19,no
US-2019-118038,OFF-ST-10000615,KB-16600,6,27.24,3,0.2,2.72,Approved,09-12-19,11-12-19,no
CA-2018-145583,OFF-PA-10001804,LC-16885,6,20.04,3,0,9.62,Backordered,13-10-18,19-10-18,yes
CA-2018-145583,OFF-PA-10001736,LC-16885,6,35.44,1,0,16.66,Backordered,13-10-18,19-10-18,yes
CA-2018-145583,OFF-AR-10001149,LC-16885,6,11.52,4,0,3.46,Shipped,13-10-18,19-10-18,yes
CA-2018-145583,OFF-FA-10002988,LC-16885,6,4.02,2,0,1.97,Shipped,13-10-18,19-10-18,yes
CA-2018-145583,OFF-BI-10004781,LC-16885,6,76.18,3,0.2,26.66,Shipped,13-10-18,19-10-18,yes
CA-2018-145583,OFF-SU-10001218,LC-16885,6,65.88,6,0,18.45,Approved,13-10-18,19-10-18,yes
CA-2018-145583,FUR-FU-10001706,LC-16885,6,43.12,14,0,20.7,Approved,13-10-18,19-10-18,yes
CA-2016-156587,FUR-CH-10004477,AB-10015,10,48.71,1,0.2,5.48,Shipped,07-03-16,08-03-16,no
CA-2016-156587,OFF-AR-10001427,AB-10015,10,17.94,3,0,4.66,Shipped,07-03-16,08-03-16,no
CA-2016-156587,OFF-ST-10002344,AB-10015,10,242.94,3,0,4.86,Backordered,07-03-16,08-03-16,no
US-2016-147606,FUR-FU-10003194,JE-15745,1,19.3,5,0.6,-14.48,Approved,26-11-16,01-12-16,no
US-2016-140116,OFF-ST-10000078,KT-16480,1,636.41,3,0.2,-15.91,Approved,10-03-16,17-03-16,no
US-2016-140116,OFF-AR-10001044,KT-16480,1,83.17,4,0.2,9.36,Approved,10-03-16,17-03-16,no
CA-2018-127208,OFF-AP-10002118,SC-20770,1,208.16,1,0,56.2,Approved,12-06-18,15-06-18,no
CA-2018-127208,OFF-BI-10002309,SC-20770,1,16.74,3,0,8.04,Approved,12-06-18,15-06-18,no
US-2016-100279,OFF-PA-10002259,SW-20275,6,22.38,2,0,10.74,Approved,10-03-16,14-03-16,no
CA-2016-139451,OFF-AR-10002053,DN-13690,1,14.9,5,0,4.17,Approved,12-10-16,16-10-16,no
CA-2016-139451,OFF-ST-10002370,DN-13690,1,21.39,1,0,6.2,Approved,12-10-16,16-10-16,no
CA-2016-166884,FUR-FU-10003981,CK-12205,6,8.32,5,0.2,2.29,Approved,11-03-16,16-03-16,no
CA-2016-166884,OFF-FA-10001561,CK-12205,6,10.46,6,0.2,1.7,Approved,11-03-16,16-03-16,no
CA-2017-149734,OFF-EN-10000927,JC-16105,1,200.98,7,0.2,62.81,Approved,03-09-17,08-09-17,no
CA-2016-158337,OFF-PA-10002137,KA-16525,7,108.92,14,0,49.01,In process,11-03-16,14-03-16,no
US-2019-119662,OFF-ST-10003656,CS-12400,1,230.38,3,0.2,-48.95,Approved,13-11-19,16-11-19,no
US-2016-125521,FUR-CH-10003379,CK-12325,10,1139.92,4,0,284.98,Approved,14-03-16,19-03-16,no
CA-2019-140088,FUR-CH-10000863,PO-18865,1,301.96,2,0,33.22,Approved,28-05-19,30-05-19,no
CA-2016-157623,OFF-PA-10001204,DK-13225,6,10.56,2,0,4.75,Approved,14-03-16,18-03-16,no
CA-2016-157623,OFF-AR-10003723,DK-13225,6,3.38,1,0,1.25,Approved,14-03-16,18-03-16,no
CA-2019-155558,TEC-AC-10001998,PG-18895,1,19.99,1,0,6.8,Approved,26-10-19,02-11-19,no
CA-2019-155558,OFF-LA-10000134,PG-18895,1,6.16,2,0,2.96,Approved,26-10-19,02-11-19,no
CA-2018-159695,OFF-ST-10003442,GM-14455,6,158.37,7,0.2,13.86,Backordered,05-04-18,10-04-18,no
CA-2016-114510,OFF-BI-10001617,JF-15295,7,33.09,4,0.2,11.17,In process,14-03-16,19-03-16,no
CA-2016-114510,OFF-ST-10000736,JF-15295,7,80.98,1,0,3.24,In process,14-03-16,19-03-16,no
CA-2016-114510,TEC-AC-10004877,JF-15295,7,82.8,12,0,6.62,Approved,14-03-16,19-03-16,no
CA-2016-114510,OFF-ST-10003221,JF-15295,7,21.36,2,0,5.77,Approved,14-03-16,19-03-16,no
CA-2016-114510,OFF-BI-10003007,JF-15295,7,62.05,2,0.2,20.17,Approved,14-03-16,19-03-16,no
CA-2016-149958,OFF-ST-10001490,AS-10240,6,142.78,1,0.2,17.85,Approved,15-03-16,19-03-16,no
CA-2016-149958,FUR-FU-10001756,AS-10240,6,45.7,3,0.2,5.14,Approved,15-03-16,19-03-16,no
CA-2016-149958,OFF-BI-10000773,AS-10240,6,7.22,3,0.7,-5.53,Approved,15-03-16,19-03-16,no
CA-2016-149958,OFF-BI-10001543,AS-10240,6,43.19,4,0.7,-31.67,Approved,15-03-16,19-03-16,no
CA-2016-149958,OFF-PA-10002120,AS-10240,6,131.9,3,0.2,47.82,Approved,15-03-16,19-03-16,no
CA-2016-157609,TEC-PH-10002415,KN-16705,7,471.92,2,0.2,29.5,In process,16-03-16,21-03-16,no
CA-2017-149587,OFF-PA-10003177,KB-16315,1,12.96,2,0,6.22,In process,31-01-17,05-02-17,no
CA-2017-149587,FUR-FU-10003799,KB-16315,1,53.34,3,0,16.54,In process,31-01-17,05-02-17,no
CA-2017-149587,OFF-BI-10002852,KB-16315,1,32.96,2,0,16.15,In process,31-01-17,05-02-17,no
US-2016-148838,FUR-TA-10003473,CP-12340,6,1579.75,7,0.4,-447.59,Shipped,17-03-16,21-03-16,no
US-2016-148838,FUR-TA-10001950,CP-12340,6,1071.58,4,0.4,-553.65,Shipped,17-03-16,21-03-16,no
US-2016-148838,FUR-TA-10004175,CP-12340,6,613.91,3,0.4,-122.78,Shipped,17-03-16,21-03-16,no
US-2016-148838,OFF-PA-10002960,CP-12340,6,34.86,7,0,16.38,Shipped,17-03-16,21-03-16,no
US-2016-148838,OFF-PA-10000919,CP-12340,6,155.04,4,0,75.97,Shipped,17-03-16,21-03-16,no
CA-2016-118339,OFF-AP-10001154,BN-11515,6,93.78,2,0,36.57,Approved,17-03-16,24-03-16,no
CA-2016-118339,OFF-PA-10000466,BN-11515,6,47.18,7,0,23.59,Approved,17-03-16,24-03-16,no
CA-2016-118339,OFF-AR-10003829,BN-11515,6,19.68,6,0,5.71,Approved,17-03-16,24-03-16,no
CA-2016-118339,OFF-BI-10001758,BN-11515,6,53.4,10,0,25.1,Approved,17-03-16,24-03-16,no
CA-2016-118339,OFF-BI-10000136,BN-11515,6,35.88,6,0,17.22,Approved,17-03-16,24-03-16,no
US-2019-109484,OFF-BI-10004738,RB-19705,1,5.68,1,0.7,-3.79,In process,06-11-19,12-11-19,no
CA-2019-161018,FUR-FU-10000629,PN-18775,1,96.53,7,0,40.54,In process,09-11-19,11-11-19,no
CA-2016-145317,TEC-MA-10003626,SM-20320,7,821.3,4,0.5,-16.43,Rejected,18-03-16,23-03-16,no
CA-2016-145317,TEC-MA-10002412,SM-20320,7,22638.48,6,0.5,-1811.08,Rejected,18-03-16,23-03-16,no
CA-2016-145317,OFF-PA-10001804,SM-20320,7,21.38,4,0.2,7.48,Rejected,18-03-16,23-03-16,no
CA-2016-145317,OFF-AR-10003183,SM-20320,7,8.02,3,0.2,1,Rejected,18-03-16,23-03-16,no
CA-2016-145317,FUR-FU-10004270,SM-20320,7,30.77,2,0.2,8.08,Shipped,18-03-16,23-03-16,no
CA-2016-145317,OFF-FA-10003112,SM-20320,7,18.94,3,0.2,5.92,Shipped,18-03-16,23-03-16,no
CA-2016-145317,FUR-FU-10001986,SM-20320,7,122.35,3,0.2,15.29,Shipped,18-03-16,23-03-16,no
CA-2019-157833,OFF-BI-10001721,KD-16345,1,51.31,3,0.2,17.96,In process,17-06-19,20-06-19,no
CA-2018-149223,OFF-AP-10000358,ER-13855,1,77.88,6,0,22.59,In process,06-09-18,11-09-18,no
CA-2018-158568,OFF-PA-10003256,RB-19465,1,64.62,7,0.2,22.62,In process,29-08-18,02-09-18,no
CA-2018-158568,TEC-AC-10001767,RB-19465,1,95.98,3,0.2,-10.8,In process,29-08-18,02-09-18,no
CA-2018-158568,OFF-BI-10002609,RB-19465,1,1.79,3,0.8,-3.04,In process,29-08-18,02-09-18,no
CA-2016-140004,OFF-AR-10004685,CB-12025,6,7.41,2,0.2,1.2,Cancelled,21-03-16,25-03-16,no
CA-2016-140004,OFF-AR-10004027,CB-12025,6,6.05,3,0.2,1.59,Cancelled,21-03-16,25-03-16,no
CA-2018-129903,OFF-PA-10004040,GZ-14470,1,23.92,4,0,11.72,In process,01-12-18,04-12-18,no
US-2017-156867,TEC-AC-10001552,LC-16870,1,238.9,6,0.2,-26.88,In process,13-11-17,17-11-17,no
US-2017-156867,FUR-FU-10004006,LC-16870,1,102.36,3,0.2,-3.84,In process,13-11-17,17-11-17,no
US-2017-156867,OFF-BI-10002794,LC-16870,1,36.88,3,0.7,-25.82,Shipped,13-11-17,17-11-17,no
US-2016-129609,OFF-AR-10003478,VM-21835,1,16.28,2,0,6.51,Backordered,22-03-16,22-03-16,no
CA-2016-148040,OFF-PA-10002581,BF-11275,10,74.35,3,0.2,23.23,Approved,22-03-16,26-03-16,no
CA-2016-148040,FUR-CH-10001482,BF-11275,10,314.35,3,0.2,-35.36,Approved,22-03-16,26-03-16,no
CA-2019-119004,TEC-AC-10003499,JM-15250,1,74.11,8,0.2,17.6,Shipped,23-11-19,28-11-19,no
CA-2019-119004,TEC-PH-10002844,JM-15250,1,27.99,1,0.2,2.1,Shipped,23-11-19,28-11-19,no
CA-2019-119004,OFF-AR-10000390,JM-15250,1,3.3,1,0.2,1.07,In process,23-11-19,28-11-19,no
US-2016-158057,OFF-BI-10004410,CC-12685,1,7.64,4,0.7,-5.86,Backordered,22-03-16,26-03-16,no
US-2016-158057,OFF-BI-10002735,CC-12685,1,51.47,5,0.7,-39.46,Backordered,22-03-16,26-03-16,no
CA-2016-120838,OFF-ST-10000585,PO-18865,7,330.4,2,0,85.9,In process,23-03-16,26-03-16,no
CA-2016-120838,TEC-PH-10003484,PO-18865,7,604.75,6,0.2,37.8,In process,23-03-16,26-03-16,no
CA-2017-129476,TEC-AC-10000844,PA-19060,6,339.96,5,0.2,67.99,In process,15-10-17,20-10-17,no
CA-2019-146780,FUR-FU-10001934,CV-12805,6,41.96,2,0,10.91,In process,25-12-19,30-12-19,no
CA-2016-147235,OFF-PA-10004948,CD-11920,1,24.9,5,0,11.7,Shipped,24-03-16,28-03-16,no
CA-2018-128867,OFF-AR-10000380,CL-12565,6,75.96,2,0,22.79,In process,03-11-18,10-11-18,no
