Order ID,Order Date,Ship Date,Customer ID,TerritoryID
CA-2016-127859,17-03-16,20-03-16,QJ-19255,6
CA-2016-145317,18-03-16,23-03-16,SM-20320,7
CA-2016-111871,18-03-16,21-03-16,EK-13795,6
US-2016-131275,18-03-16,24-03-16,SC-20050,6
CA-2016-103989,19-03-16,21-03-16,MC-17605,6
US-2016-155544,21-03-16,25-03-16,GM-14440,6
CA-2016-140004,21-03-16,25-03-16,CB-12025,6
US-2016-107405,21-03-16,25-03-16,TS-21205,10
CA-2016-163223,21-03-16,25-03-16,KH-16690,1
US-2016-129609,22-03-16,22-03-16,VM-21835,1
CA-2016-148040,22-03-16,26-03-16,BF-11275,10
US-2016-158057,22-03-16,26-03-16,CC-12685,1
CA-2016-164749,23-03-16,26-03-16,BG-11740,6
CA-2016-120838,23-03-16,26-03-16,PO-18865,7
CA-2016-143637,24-03-16,29-03-16,MS-17710,10
CA-2016-147235,24-03-16,28-03-16,CD-11920,1
CA-2016-148586,25-03-16,01-04-16,AZ-10750,6
CA-2016-128237,25-03-16,30-03-16,CA-12265,10
CA-2016-100860,26-03-16,30-03-16,CS-12505,9
CA-2016-141838,26-03-16,31-03-16,DK-12835,10
CA-2016-138436,26-03-16,30-03-16,JD-15895,6
US-2016-137869,28-03-16,02-04-16,CV-12295,10
US-2016-117380,28-03-16,03-04-16,MP-18175,7
CA-2016-100881,28-03-16,01-04-16,DR-12940,6
CA-2016-137274,29-03-16,02-04-16,MG-18145,6
US-2016-113124,30-03-16,05-04-16,NC-18340,6
CA-2016-131247,30-03-16,04-04-16,GA-14725,6
CA-2016-169033,30-03-16,03-04-16,KM-16720,10
CA-2016-133424,30-03-16,04-04-16,Dl-13600,6
US-2016-105151,30-03-16,31-03-16,SG-20890,6
CA-2016-162089,30-03-16,01-04-16,MP-17470,1
CA-2016-112403,31-03-16,31-03-16,JO-15280,10
CA-2016-130428,31-03-16,31-03-16,TG-21640,7
CA-2016-101770,31-03-16,04-04-16,KB-16240,10
CA-2016-128055,31-03-16,05-04-16,AA-10315,6
US-2016-104759,31-03-16,04-04-16,DD-13570,6
CA-2016-138359,01-04-16,06-04-16,KH-16330,6
US-2016-157021,01-04-16,06-04-16,KM-16720,6
CA-2016-164315,02-04-16,08-04-16,RD-19585,7
US-2016-157847,02-04-16,06-04-16,SC-20020,6
CA-2016-160276,02-04-16,08-04-16,AH-10690,7
CA-2016-112291,03-04-16,08-04-16,KE-16420,1
CA-2016-105172,04-04-16,09-04-16,PK-18910,6
CA-2016-149538,04-04-16,08-04-16,KB-16585,6
CA-2016-133228,04-04-16,09-04-16,MS-17710,6
US-2016-128685,04-04-16,05-04-16,MZ-17515,6
CA-2016-151001,05-04-16,07-04-16,JG-15805,6
CA-2016-102988,05-04-16,09-04-16,GM-14695,6
CA-2016-149104,05-04-16,07-04-16,RD-19900,6
CA-2016-113887,05-04-16,07-04-16,TH-21550,6
US-2016-157231,05-04-16,09-04-16,RP-19855,1
CA-2016-153808,06-04-16,10-04-16,FH-14275,6
CA-2016-169803,06-04-16,12-04-16,SC-20260,6
CA-2016-136742,06-04-16,10-04-16,GP-14740,6
CA-2016-102652,06-04-16,12-04-16,AY-10555,1
US-2016-118486,06-04-16,08-04-16,SD-20485,6
CA-2016-165806,07-04-16,07-04-16,VM-21685,1
CA-2016-124023,07-04-16,10-04-16,PJ-19015,6
CA-2016-128846,07-04-16,12-04-16,RS-19765,6
US-2016-118997,08-04-16,12-04-16,RA-19885,1
US-2016-163797,08-04-16,13-04-16,PC-19000,1
CA-2016-100363,08-04-16,15-04-16,JM-15655,1
CA-2016-121769,08-04-16,12-04-16,JS-15880,10
CA-2016-150581,08-04-16,12-04-16,NM-18445,7
CA-2016-138940,11-04-16,16-04-16,GM-14455,6
US-2016-102715,11-04-16,13-04-16,JK-15370,6
US-2016-121734,11-04-16,16-04-16,SE-20110,7
CA-2016-110555,11-04-16,18-04-16,MM-18055,6
US-2016-158365,12-04-16,17-04-16,SV-20785,1
CA-2016-142979,12-04-16,18-04-16,EH-13765,1
CA-2016-154599,12-04-16,17-04-16,KN-16450,10
CA-2016-122336,13-04-16,17-04-16,JD-15895,6
CA-2016-167724,13-04-16,18-04-16,BF-11170,6
US-2016-120740,15-04-16,15-04-16,PS-18970,7
CA-2016-155208,16-04-16,20-04-16,SP-20650,1
CA-2016-110849,18-04-16,23-04-16,JL-15835,6
CA-2016-100678,18-04-16,22-04-16,KM-16720,6
CA-2016-158470,19-04-16,23-04-16,AG-10390,10
CA-2016-169460,19-04-16,21-04-16,NF-18595,7
CA-2016-134572,20-04-16,22-04-16,SV-20365,6
CA-2016-101462,20-04-16,25-04-16,BP-11230,1
CA-2016-136336,21-04-16,26-04-16,DB-13555,10
CA-2016-158064,21-04-16,25-04-16,AA-10375,6
CA-2016-122070,22-04-16,24-04-16,AH-10030,6
US-2016-112564,23-04-16,24-04-16,TS-21160,6
US-2016-150119,23-04-16,27-04-16,LB-16795,6
CA-2016-111857,23-04-16,26-04-16,NM-18445,1
CA-2016-110100,25-04-16,29-04-16,LC-16885,7
CA-2016-166954,25-04-16,30-04-16,BT-11305,1
US-2016-157406,25-04-16,29-04-16,DA-13450,6
CA-2016-116785,26-04-16,30-04-16,MH-17290,6
CA-2016-147298,26-04-16,03-05-16,AG-10300,7
CA-2016-140228,28-04-16,03-05-16,GB-14530,1
CA-2016-132983,28-04-16,03-05-16,DS-13180,7
CA-2016-131387,28-04-16,30-04-16,AI-10855,6
CA-2016-118976,28-04-16,03-05-16,MY-18295,1
CA-2016-118304,29-04-16,04-05-16,KH-16360,6
CA-2016-107811,29-04-16,03-05-16,LA-16780,1
CA-2016-134061,29-04-16,04-05-16,LL-16840,6
CA-2016-142727,29-04-16,01-05-16,HG-14845,10
CA-2016-160094,30-04-16,02-05-16,JM-16195,10
CA-2016-156006,30-04-16,02-05-16,TM-21010,1
CA-2016-124618,02-05-16,04-05-16,CS-11860,7
CA-2016-115056,02-05-16,02-05-16,AR-10510,10
CA-2016-130274,03-05-16,05-05-16,JS-15940,6
CA-2016-135755,03-05-16,10-05-16,NC-18415,6
CA-2016-155271,04-05-16,04-05-16,AA-10480,6
US-2016-148194,04-05-16,07-05-16,BS-11365,10
CA-2016-111899,04-05-16,05-05-16,NC-18340,7
CA-2016-117709,04-05-16,08-05-16,PM-18940,6
CA-2016-166457,05-05-16,09-05-16,PF-19120,10
CA-2016-110219,05-05-16,08-05-16,EB-13870,7
CA-2016-160738,05-05-16,10-05-16,KH-16330,7
CA-2016-111934,05-05-16,07-05-16,GD-14590,10
CA-2016-121664,06-05-16,10-05-16,HP-14815,6
US-2016-154879,06-05-16,11-05-16,SN-20710,6
CA-2016-166086,07-05-16,12-05-16,CT-11995,6
CA-2016-116666,08-05-16,10-05-16,KT-16480,6
CA-2016-158771,09-05-16,09-05-16,SB-20290,10
US-2016-102071,09-05-16,15-05-16,PG-18820,6
CA-2016-114181,10-05-16,14-05-16,AF-10885,1
CA-2016-159709,10-05-16,15-05-16,AI-10855,6
CA-2016-103310,10-05-16,15-05-16,GM-14680,6
CA-2016-103849,11-05-16,16-05-16,PG-18895,6
CA-2016-139017,11-05-16,17-05-16,RM-19375,6
CA-2016-127523,11-05-16,18-05-16,BG-11695,6
CA-2016-152100,11-05-16,16-05-16,VW-21775,9
CA-2016-119172,11-05-16,15-05-16,HD-14785,7
CA-2016-127159,12-05-16,15-05-16,HL-15040,6
CA-2016-155887,12-05-16,17-05-16,KT-16480,7
CA-2016-167164,13-05-16,15-05-16,AG-10270,6
CA-2016-140165,13-05-16,15-05-16,EH-14005,6
CA-2016-114433,13-05-16,17-05-16,NP-18325,6
CA-2016-113768,13-05-16,19-05-16,AH-10030,6
CA-2016-106810,14-05-16,20-05-16,AJ-10795,6
CA-2016-125150,16-05-16,23-05-16,PW-19030,10
US-2016-163146,16-05-16,20-05-16,CC-12475,6
CA-2016-148761,17-05-16,21-05-16,PA-19060,10
CA-2016-103373,18-05-16,24-05-16,BS-11755,6
CA-2016-133963,18-05-16,22-05-16,GA-14515,1
CA-2016-164224,18-05-16,20-05-16,TT-21070,6
US-2016-107699,19-05-16,23-05-16,JH-15820,6
CA-2016-130155,19-05-16,22-05-16,TD-20995,8
US-2016-114188,20-05-16,22-05-16,RF-19345,7
CA-2016-130673,20-05-16,22-05-16,MC-17590,6
CA-2016-104780,21-05-16,25-05-16,BT-11530,1
CA-2016-117639,21-05-16,25-05-16,MW-18235,6
CA-2016-152443,21-05-16,26-05-16,FG-14260,6
CA-2016-127166,21-05-16,23-05-16,KH-16360,1
CA-2016-143840,22-05-16,29-05-16,EH-14185,6
US-2016-135881,23-05-16,27-05-16,GT-14710,1
CA-2016-138513,23-05-16,27-05-16,EH-13990,6
US-2016-105767,23-05-16,27-05-16,AR-10510,6
CA-2016-143413,24-05-16,30-05-16,RP-19390,7
US-2016-130379,25-05-16,29-05-16,JL-15235,6
CA-2016-100391,25-05-16,29-05-16,BW-11065,8
CA-2016-158029,26-05-16,30-05-16,HF-14995,7
CA-2016-144029,26-05-16,31-05-16,MM-18055,6
CA-2016-129574,26-05-16,29-05-16,Dp-13240,6
CA-2016-156349,26-05-16,30-05-16,ML-17395,6
US-2016-117058,27-05-16,30-05-16,LE-16810,1
CA-2016-124429,27-05-16,27-05-16,MH-17785,6
CA-2016-139192,27-05-16,01-06-16,LC-16885,6
CA-2016-108861,28-05-16,01-06-16,MM-17260,6
CA-2016-135993,28-05-16,02-06-16,PJ-18835,6
CA-2016-103429,30-05-16,01-06-16,LW-16825,10
CA-2016-140473,30-05-16,03-06-16,MC-17425,6
CA-2016-146885,30-05-16,05-06-16,EB-13840,7
CA-2016-105872,30-05-16,06-06-16,JG-15160,7
CA-2016-145800,30-05-16,05-06-16,SS-20410,6
CA-2016-166051,31-05-16,05-06-16,JK-15625,6
CA-2016-111003,01-06-16,06-06-16,CR-12625,6
CA-2016-131926,01-06-16,06-06-16,DW-13480,1
US-2016-165659,01-06-16,06-06-16,LT-17110,6
US-2016-157070,01-06-16,06-06-16,QJ-19255,6
CA-2016-104472,02-06-16,07-06-16,CK-12325,6
CA-2016-100895,02-06-16,06-06-16,SV-20785,6
CA-2016-141299,03-06-16,07-06-16,RB-19795,7
CA-2016-163867,03-06-16,06-06-16,RE-19450,1
CA-2016-135657,03-06-16,07-06-16,SC-20725,6
CA-2016-151946,04-06-16,09-06-16,BT-11440,10
CA-2016-147914,04-06-16,09-06-16,MP-17470,10
US-2016-161305,06-06-16,12-06-16,SB-20170,7
CA-2016-151897,06-06-16,10-06-16,VT-21700,1
CA-2016-169257,06-06-16,12-06-16,SV-20785,6
CA-2016-133270,06-06-16,09-06-16,BM-11785,6
CA-2016-159520,06-06-16,11-06-16,GT-14635,7
CA-2016-106229,07-06-16,11-06-16,NR-18550,10
US-2016-134971,07-06-16,10-06-16,BP-11095,6
US-2016-141257,08-06-16,14-06-16,CS-11950,7
CA-2016-108147,08-06-16,13-06-16,RD-19480,1
US-2016-109162,08-06-16,12-06-16,KE-16420,1
CA-2016-133753,09-06-16,13-06-16,CW-11905,6
CA-2016-132612,09-06-16,11-06-16,FO-14305,6
CA-2016-115812,09-06-16,14-06-16,BH-11710,6
CA-2016-133851,09-06-16,16-06-16,CM-12445,1
CA-2016-160262,09-06-16,13-06-16,TS-21205,10
CA-2016-144281,10-06-16,15-06-16,HK-14890,6
CA-2016-114643,13-06-16,17-06-16,FM-14215,6
CA-2016-140487,14-06-16,20-06-16,SR-20425,1
CA-2016-126963,15-06-16,15-06-16,PS-18760,6
US-2016-141215,15-06-16,21-06-16,KL-16555,1
CA-2016-136644,16-06-16,22-06-16,SC-20575,1
CA-2016-113929,16-06-16,21-06-16,CK-12205,10
CA-2016-144414,17-06-16,21-06-16,GH-14425,6
CA-2016-156342,17-06-16,20-06-16,JF-15415,7
CA-2016-104402,17-06-16,23-06-16,DB-13660,7
CA-2016-123855,18-06-16,23-06-16,MC-18100,9
CA-2016-166863,20-06-16,24-06-16,SC-20020,6
US-2016-112949,20-06-16,27-06-16,Co-12640,1
CA-2016-128146,21-06-16,25-06-16,DB-13060,6
US-2016-160780,21-06-16,21-06-16,SV-20785,6
CA-2016-130624,21-06-16,24-06-16,TB-21280,6
CA-2016-141278,21-06-16,24-06-16,RM-19375,6
CA-2016-141796,21-06-16,21-06-16,JG-15160,6
CA-2016-138317,21-06-16,25-06-16,NW-18400,6
US-2016-117135,21-06-16,23-06-16,NP-18325,6
CA-2016-142048,22-06-16,25-06-16,JE-15745,6
CA-2016-154963,22-06-16,27-06-16,AA-10645,7
CA-2016-124646,22-06-16,24-06-16,DV-13465,7
CA-2016-133389,22-06-16,22-06-16,TB-21280,8
CA-2016-126032,23-06-16,28-06-16,BS-11665,7
US-2016-130358,23-06-16,26-06-16,DL-13330,6
CA-2016-159814,24-06-16,28-06-16,LP-17080,9
CA-2016-164469,25-06-16,27-06-16,GK-14620,6
CA-2016-159338,25-06-16,28-06-16,NS-18640,6
CA-2016-104283,27-06-16,01-07-16,LM-17065,10
CA-2016-156993,28-06-16,04-07-16,RW-19630,10
CA-2016-140858,28-06-16,02-07-16,CA-12775,1
CA-2016-165974,29-06-16,06-07-16,DL-12865,6
CA-2016-111773,29-06-16,03-07-16,JK-15625,6
US-2016-121566,30-06-16,06-07-16,CS-11860,6
CA-2016-109218,30-06-16,03-07-16,AR-10825,6
CA-2016-116757,30-06-16,04-07-16,MS-17980,1
CA-2016-152254,30-06-16,30-06-16,BD-11620,7
CA-2016-146640,30-06-16,05-07-16,HA-14905,6
CA-2016-123064,30-06-16,02-07-16,RA-19915,7
CA-2016-153150,01-07-16,06-07-16,Dl-13600,6
CA-2016-160773,01-07-16,05-07-16,LW-16825,1
CA-2016-107594,02-07-16,06-07-16,EH-13945,7
CA-2016-120096,04-07-16,07-07-16,KE-16420,6
CA-2016-138709,04-07-16,09-07-16,MS-17770,6
CA-2016-152849,05-07-16,12-07-16,DW-13195,6
US-2016-160444,05-07-16,05-07-16,DC-12850,6
CA-2016-157784,05-07-16,08-07-16,MC-17845,6
CA-2016-103317,05-07-16,08-07-16,DM-13525,10
CA-2016-107139,05-07-16,11-07-16,DP-13390,6
CA-2016-134278,06-07-16,08-07-16,EP-13915,6
CA-2016-147543,06-07-16,12-07-16,BC-11125,10
US-2016-138758,07-07-16,11-07-16,JL-15835,6
CA-2016-100090,08-07-16,12-07-16,EB-13705,7
CA-2016-150301,08-07-16,10-07-16,MH-18025,10
CA-2016-113271,09-07-16,14-07-16,DS-13030,6
CA-2016-165379,09-07-16,15-07-16,BM-11650,7
CA-2016-114125,09-07-16,13-07-16,GH-14410,10
CA-2016-123225,11-07-16,14-07-16,MN-17935,6
CA-2016-166555,11-07-16,14-07-16,JK-15205,1
CA-2016-163552,11-07-16,15-07-16,LA-16780,6
CA-2016-133305,11-07-16,15-07-16,MH-17455,7
CA-2016-131310,12-07-16,18-07-16,CL-12565,6
CA-2016-161508,12-07-16,16-07-16,PV-18985,7
CA-2016-124807,12-07-16,15-07-16,ME-17725,10
CA-2016-110184,12-07-16,16-07-16,BF-11170,6
CA-2016-129924,12-07-16,17-07-16,AC-10420,6
US-2016-165862,13-07-16,17-07-16,GK-14620,1
CA-2016-109904,14-07-16,17-07-16,BF-10975,1
CA-2016-164182,14-07-16,18-07-16,ST-20530,6
CA-2016-124464,14-07-16,20-07-16,SS-20515,1
US-2016-103905,14-07-16,20-07-16,AW-10930,6
US-2016-150532,14-07-16,21-07-16,PB-19150,6
CA-2016-115980,15-07-16,19-07-16,VW-21775,6
CA-2016-138198,18-07-16,23-07-16,JL-15130,10
CA-2016-123295,18-07-16,18-07-16,AH-10120,1
CA-2016-168158,19-07-16,24-07-16,EM-14140,1
US-2016-150434,19-07-16,24-07-16,CA-12310,7
CA-2016-142965,20-07-16,20-07-16,SW-20245,6
CA-2016-143903,20-07-16,24-07-16,KM-16375,1
CA-2016-157546,20-07-16,22-07-16,RD-19720,6
CA-2016-141726,20-07-16,22-07-16,CC-12145,1
CA-2016-127866,20-07-16,23-07-16,JD-15895,1
CA-2016-116932,21-07-16,25-07-16,ME-18010,10
CA-2016-109890,21-07-16,27-07-16,PG-18820,6
CA-2016-129189,21-07-16,25-07-16,HM-14860,6
CA-2016-122679,22-07-16,28-07-16,AB-10255,6
CA-2016-127691,22-07-16,27-07-16,EM-14065,1
CA-2016-117464,22-07-16,24-07-16,NP-18325,6
US-2016-164644,22-07-16,24-07-16,JL-15850,8
CA-2016-103058,23-07-16,24-07-16,AG-10270,6
CA-2016-145254,23-07-16,27-07-16,NC-18535,9
US-2016-119137,23-07-16,27-07-16,AG-10900,6
CA-2016-146528,25-07-16,27-07-16,VF-21715,10
CA-2016-143917,25-07-16,27-07-16,KL-16645,1
CA-2016-126760,26-07-16,02-08-16,KM-16720,1
CA-2016-159121,26-07-16,01-08-16,JO-15145,1
CA-2016-169019,26-07-16,30-07-16,LF-17185,1
CA-2016-116190,26-07-16,01-08-16,SG-20470,6
US-2016-155894,26-07-16,30-07-16,CL-11890,6
CA-2016-124709,27-07-16,29-07-16,GW-14605,6
CA-2016-169642,27-07-16,30-07-16,BB-10990,6
US-2016-150126,27-07-16,02-08-16,AS-10045,7
CA-2016-131541,28-07-16,28-07-16,CK-12205,7
CA-2016-111192,30-07-16,05-08-16,TS-21430,6
CA-2016-162684,01-08-16,06-08-16,AS-10630,6
CA-2016-152296,01-08-16,03-08-16,IL-15100,6
CA-2016-117345,01-08-16,05-08-16,BF-10975,6
US-2016-106299,02-08-16,08-08-16,NZ-18565,1
CA-2016-125612,03-08-16,08-08-16,BK-11260,6
CA-2016-133690,03-08-16,05-08-16,BS-11755,6
CA-2016-128986,03-08-16,05-08-16,GH-14410,6
CA-2016-134215,04-08-16,08-08-16,ML-17395,6
CA-2016-126361,04-08-16,09-08-16,VD-21670,6
CA-2016-118962,05-08-16,09-08-16,CS-12130,6
CA-2016-124723,05-08-16,12-08-16,GZ-14470,6
US-2016-117968,05-08-16,07-08-16,RS-19420,6
CA-2016-150490,05-08-16,11-08-16,SS-20590,6
CA-2016-110065,05-08-16,11-08-16,SP-20650,10
CA-2016-137575,06-08-16,11-08-16,TB-21625,1
CA-2016-115357,06-08-16,11-08-16,RF-19735,6
CA-2016-151708,08-08-16,14-08-16,MB-17305,6
CA-2016-124478,08-08-16,12-08-16,MA-17560,6
CA-2016-131450,08-08-16,15-08-16,LR-16915,6
CA-2016-154669,08-08-16,11-08-16,TM-21010,7
CA-2016-156790,08-08-16,10-08-16,VG-21790,7
CA-2016-141901,09-08-16,14-08-16,GM-14500,1
CA-2016-110527,09-08-16,16-08-16,ED-13885,6
CA-2016-166471,09-08-16,13-08-16,MG-17650,6
CA-2016-161249,09-08-16,13-08-16,RD-19720,6
CA-2016-167850,09-08-16,16-08-16,AG-10525,6
CA-2016-169726,09-08-16,13-08-16,JH-15985,10
CA-2016-127012,11-08-16,15-08-16,GM-14680,6
CA-2016-154641,11-08-16,16-08-16,KL-16645,6
CA-2016-156244,12-08-16,16-08-16,DH-13675,1
CA-2016-109302,12-08-16,16-08-16,CS-12175,7
CA-2016-153927,12-08-16,13-08-16,LL-16840,1
CA-2016-109897,12-08-16,16-08-16,BW-11200,6
CA-2016-109043,15-08-16,17-08-16,CS-12355,8
CA-2016-138023,15-08-16,18-08-16,KH-16510,6
US-2016-164406,15-08-16,19-08-16,BD-11605,1
CA-2016-141005,15-08-16,18-08-16,CS-12355,10
CA-2016-142839,16-08-16,20-08-16,TS-21610,6
CA-2016-129168,17-08-16,23-08-16,KB-16585,1
CA-2016-111500,17-08-16,21-08-16,DJ-13510,6
US-2016-143581,19-08-16,23-08-16,BS-11365,6
US-2016-164616,19-08-16,21-08-16,MS-17770,6
US-2016-156559,19-08-16,26-08-16,LH-16900,1
CA-2016-133158,19-08-16,21-08-16,DW-13195,6
CA-2016-121727,19-08-16,24-08-16,JK-15625,6
CA-2016-166716,20-08-16,25-08-16,CR-12730,6
CA-2016-114321,20-08-16,25-08-16,NC-18535,6
US-2016-166828,22-08-16,25-08-16,JF-15415,1
CA-2016-123253,22-08-16,25-08-16,DE-13255,6
CA-2016-130918,22-08-16,24-08-16,JP-15520,7
US-2016-112795,23-08-16,28-08-16,CR-12625,10
CA-2016-124737,23-08-16,27-08-16,AP-10915,7
CA-2016-154837,23-08-16,27-08-16,RB-19645,1
CA-2016-110639,23-08-16,23-08-16,RH-19495,6
CA-2016-106719,24-08-16,24-08-16,RB-19645,10
CA-2016-120432,24-08-16,26-08-16,DW-13585,10
CA-2016-107916,24-08-16,26-08-16,JP-15460,6
CA-2016-103660,25-08-16,30-08-16,MW-18220,6
CA-2016-115259,25-08-16,27-08-16,RC-19960,1
CA-2016-107398,25-08-16,30-08-16,BS-11590,6
CA-2016-104178,25-08-16,29-08-16,JM-15265,6
CA-2016-126200,25-08-16,29-08-16,JE-15715,6
CA-2016-103331,26-08-16,01-09-16,KB-16315,7
US-2016-115413,26-08-16,01-09-16,PP-18955,10
CA-2016-123260,26-08-16,30-08-16,FM-14290,6
CA-2016-124688,27-08-16,29-08-16,CC-12610,6
CA-2016-143336,27-08-16,01-09-16,ZD-21925,6
CA-2016-101266,27-08-16,30-08-16,MM-17920,1
CA-2016-135699,29-08-16,29-08-16,HH-15010,6
CA-2016-169775,29-08-16,02-09-16,RA-19945,6
CA-2016-146500,30-08-16,04-09-16,AT-10735,6
CA-2016-143385,31-08-16,05-09-16,SJ-20500,6
CA-2016-165428,01-09-16,04-09-16,JL-15130,6
CA-2016-126522,01-09-16,05-09-16,LT-16765,6
CA-2016-109855,01-09-16,05-09-16,LH-16900,6
CA-2016-106971,02-09-16,08-09-16,BM-11785,6
CA-2016-151792,02-09-16,07-09-16,CV-12295,6
CA-2016-158281,02-09-16,07-09-16,AG-10525,7
CA-2016-127936,02-09-16,04-09-16,CL-12565,6
CA-2016-157721,02-09-16,05-09-16,JM-16195,10
CA-2016-152268,02-09-16,07-09-16,SC-20095,10
US-2016-138828,02-09-16,03-09-16,KD-16345,1
CA-2016-125171,03-09-16,03-09-16,AG-10390,1
US-2016-120236,03-09-16,04-09-16,MR-17545,7
CA-2016-136861,05-09-16,07-09-16,PR-18880,6
